model,userId,K,precision,recall,ndcg,num_relevant_test_items,num_recommendations
Content-Based,85,20,0.0,0.0,0.0,3,80
Content-Based,85,40,0.0,0.0,0.0,3,80
Content-Based,85,80,0.0,0.0,0.0,3,80
Content-Based,3929,5,0.0,0.0,0.0,31,80
Content-Based,3929,10,0.2,0.06451612903225806,0.3889580943680543,31,80
Content-Based,3929,20,0.1,0.06451612903225806,0.3889580943680543,31,80
Content-Based,3929,40,0.05,0.06451612903225806,0.3889580943680543,31,80
Content-Based,3929,80,0.0625,0.16129032258064516,0.3941474661037483,31,80
Content-Based,1023,5,0.0,0.0,0.0,7,80
Content-Based,1023,10,0.0,0.0,0.0,7,80
Content-Based,1023,20,0.0,0.0,0.0,7,80
Content-Based,1023,40,0.025,0.14285714285714285,0.1965616322328226,7,80
Content-Based,1023,80,0.0125,0.14285714285714285,0.1965616322328226,7,80
Content-Based,4821,5,0.0,0.0,0.0,27,80
Content-Based,4821,10,0.0,0.0,0.0,27,80
Content-Based,4821,20,0.0,0.0,0.0,27,80
Content-Based,4821,40,0.0,0.0,0.0,27,80
Content-Based,4821,80,0.0,0.0,0.0,27,80
Content-Based,677,5,0.0,0.0,0.0,32,80
Content-Based,677,10,0.0,0.0,0.0,32,80
Content-Based,677,20,0.0,0.0,0.0,32,80
Content-Based,677,40,0.0,0.0,0.0,32,80
Content-Based,677,80,0.0125,0.03125,0.17718382013555792,32,80
Content-Based,5904,5,0.0,0.0,0.0,2,80
Content-Based,5904,10,0.0,0.0,0.0,2,80
Content-Based,5904,20,0.0,0.0,0.0,2,80
Content-Based,5904,40,0.0,0.0,0.0,2,80
Content-Based,5904,80,0.0125,0.5,0.18316925091363362,2,80
Content-Based,5821,5,0.0,0.0,0.0,11,80
Content-Based,5821,10,0.0,0.0,0.0,11,80
Content-Based,5821,20,0.0,0.0,0.0,11,80
Content-Based,5821,40,0.0,0.0,0.0,11,80
Content-Based,5821,80,0.0,0.0,0.0,11,80
Content-Based,1449,5,0.0,0.0,0.0,76,80
Content-Based,1449,10,0.1,0.013157894736842105,0.3333333333333333,76,80
Content-Based,1449,20,0.15,0.039473684210526314,0.3922209699957766,76,80
Content-Based,1449,40,0.1,0.05263157894736842,0.41142138904532255,76,80
Content-Based,1449,80,0.0625,0.06578947368421052,0.4188432580925826,76,80
Content-Based,1658,5,0.0,0.0,0.0,55,80
Content-Based,1658,10,0.0,0.0,0.0,55,80
Content-Based,1658,20,0.0,0.0,0.0,55,80
Content-Based,1658,40,0.0,0.0,0.0,55,80
Content-Based,1658,80,0.0125,0.01818181818181818,0.18428883314870617,55,80
Content-Based,1696,5,0.0,0.0,0.0,24,80
Content-Based,1696,10,0.0,0.0,0.0,24,80
Content-Based,1696,20,0.05,0.041666666666666664,0.25,24,80
Content-Based,1696,40,0.05,0.08333333333333333,0.2888320164776886,24,80
Content-Based,1696,80,0.05,0.16666666666666666,0.32161847269268623,24,80
Content-Based,1670,5,0.0,0.0,0.0,7,80
Content-Based,1670,10,0.0,0.0,0.0,7,80
Content-Based,1670,20,0.0,0.0,0.0,7,80
Content-Based,1670,40,0.025,0.14285714285714285,0.2037950470905062,7,80
Content-Based,1670,80,0.0125,0.14285714285714285,0.2037950470905062,7,80
