model,userId,K,precision,recall,ndcg,num_relevant_test_items,num_recommendations
SVD Matrix Factorization,764,20,0.15,0.13636363636363635,0.7222503809608933,22,80
SVD Matrix Factorization,764,40,0.15,0.2727272727272727,0.6447643712907557,22,80
SVD Matrix Factorization,764,80,0.075,0.2727272727272727,0.6447643712907557,22,80
SVD Matrix Factorization,1600,5,0.6,0.07317073170731707,0.6797310500037655,41,80
SVD Matrix Factorization,1600,10,0.4,0.0975609756097561,0.6829656479960798,41,80
SVD Matrix Factorization,1600,20,0.35,0.17073170731707318,0.6884170048846122,41,80
SVD Matrix Factorization,1600,40,0.25,0.24390243902439024,0.6907242286751846,41,80
SVD Matrix Factorization,1600,80,0.15,0.2926829268292683,0.6843931679918122,41,80
SVD Matrix Factorization,2290,5,0.0,0.0,0.0,7,80
SVD Matrix Factorization,2290,10,0.0,0.0,0.0,7,80
SVD Matrix Factorization,2290,20,0.1,0.2857142857142857,0.31003608014795075,7,80
SVD Matrix Factorization,2290,40,0.05,0.2857142857142857,0.31003608014795075,7,80
SVD Matrix Factorization,2290,80,0.0375,0.42857142857142855,0.31739870651489194,7,80
SVD Matrix Factorization,5263,5,0.6,0.1875,1.0,16,80
SVD Matrix Factorization,5263,10,0.3,0.1875,1.0,16,80
SVD Matrix Factorization,5263,20,0.15,0.1875,1.0,16,80
SVD Matrix Factorization,5263,40,0.15,0.375,0.8165978348055594,16,80
SVD Matrix Factorization,5263,80,0.0875,0.4375,0.7867755056193032,16,80
SVD Matrix Factorization,5444,5,0.0,0.0,0.0,3,80
SVD Matrix Factorization,5444,10,0.0,0.0,0.0,3,80
SVD Matrix Factorization,5444,20,0.0,0.0,0.0,3,80
SVD Matrix Factorization,5444,40,0.0,0.0,0.0,3,80
SVD Matrix Factorization,5444,80,0.0,0.0,0.0,3,80
SVD Matrix Factorization,1885,5,0.2,0.14285714285714285,0.5,7,80
SVD Matrix Factorization,1885,10,0.1,0.14285714285714285,0.5,7,80
SVD Matrix Factorization,1885,20,0.05,0.14285714285714285,0.5,7,80
SVD Matrix Factorization,1885,40,0.05,0.2857142857142857,0.4217850727186257,7,80
SVD Matrix Factorization,1885,80,0.025,0.2857142857142857,0.4217850727186257,7,80
SVD Matrix Factorization,4735,5,0.4,0.13333333333333333,1.0,15,80
SVD Matrix Factorization,4735,10,0.5,0.3333333333333333,0.8891085695884217,15,80
SVD Matrix Factorization,4735,20,0.3,0.4,0.8632879143251744,15,80
SVD Matrix Factorization,4735,40,0.175,0.4666666666666667,0.843380172089879,15,80
SVD Matrix Factorization,4735,80,0.0875,0.4666666666666667,0.843380172089879,15,80
SVD Matrix Factorization,2193,5,0.0,0.0,0.0,4,80
SVD Matrix Factorization,2193,10,0.0,0.0,0.0,4,80
SVD Matrix Factorization,2193,20,0.05,0.25,0.26264953503719357,4,80
SVD Matrix Factorization,2193,40,0.025,0.25,0.26264953503719357,4,80
SVD Matrix Factorization,2193,80,0.0125,0.25,0.26264953503719357,4,80
SVD Matrix Factorization,5128,5,0.0,0.0,0.0,12,80
SVD Matrix Factorization,5128,10,0.1,0.08333333333333333,0.3333333333333333,12,80
SVD Matrix Factorization,5128,20,0.1,0.16666666666666666,0.3576691957798507,12,80
SVD Matrix Factorization,5128,40,0.05,0.16666666666666666,0.3576691957798507,12,80
